,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Year
190,Jake Bauers,CLE,1B,25,117,372,46,84,16,1,12,43,3,3,45,115,0,3,3,0.226,0.312,0.371,0.6829999999999999,2019
191,Mike Yastrzemski,SF,OF,30,107,371,64,101,22,3,21,55,2,4,32,107,1,3,4,0.272,0.33399999999999996,0.518,0.852,2019
192,Rowdy Tellez,TOR,1B,25,111,370,49,84,19,0,21,54,1,1,29,116,0,3,7,0.22699999999999998,0.293,0.449,0.742,2019
193,Rio Ruiz,BAL,3B,26,127,370,35,86,13,2,12,46,0,1,40,88,1,2,0,0.23199999999999998,0.306,0.376,0.682,2019
194,Christin Stewart,DET,OF,26,104,369,32,86,25,1,10,40,0,1,34,103,0,6,7,0.233,0.305,0.38799999999999996,0.693,2019
195,Chris Taylor,LAD,2B,30,124,366,52,96,29,4,12,52,8,0,37,115,2,5,4,0.262,0.33299999999999996,0.462,0.795,2019
196,Robinson Chirinos,HOU,C,36,114,366,57,87,22,1,17,58,1,2,51,125,2,5,13,0.23800000000000002,0.34700000000000003,0.44299999999999995,0.79,2019
197,Willson Contreras,CHC,C,28,105,360,57,98,18,2,24,64,1,2,38,102,0,2,9,0.272,0.355,0.5329999999999999,0.888,2019
198,Tony Wolters,COL,C,28,121,359,42,94,17,2,1,42,0,1,36,68,2,6,8,0.262,0.337,0.32899999999999996,0.6659999999999999,2019
199,Delino DeShields,TEX,OF,28,118,357,42,89,15,4,4,32,24,6,38,100,8,2,3,0.249,0.325,0.34700000000000003,0.672,2019
200,Dwight Smith,BAL,OF,28,101,357,46,86,16,3,13,53,5,1,26,82,1,4,4,0.24100000000000002,0.297,0.41200000000000003,0.7090000000000001,2019
201,Stephen Piscotty,OAK,OF,29,93,357,46,89,17,1,13,44,2,0,29,84,1,3,3,0.249,0.309,0.41200000000000003,0.721,2019
202,Luis Rengifo,LAA,2B,23,108,357,44,85,18,3,7,33,2,5,40,93,1,3,5,0.23800000000000002,0.321,0.364,0.685,2019
203,Harold Castro,DET,2B,26,97,354,30,103,10,4,5,38,4,2,9,86,2,4,0,0.29100000000000004,0.305,0.384,0.6890000000000001,2019
204,Cavan Biggio,TOR,2B,25,100,354,66,83,17,2,16,48,14,0,71,123,0,2,2,0.23399999999999999,0.364,0.429,0.7929999999999999,2019
205,Harrison Bader,STL,OF,26,128,347,54,71,14,3,12,39,11,3,46,117,1,2,10,0.205,0.314,0.366,0.68,2019
206,Michael Chavis,BOS,2B,25,95,347,46,88,10,1,18,58,2,1,31,127,0,0,4,0.254,0.322,0.444,0.7659999999999999,2019
207,Danny Jansen,TOR,C,25,107,347,41,72,12,1,13,43,0,1,31,79,1,1,4,0.207,0.27899999999999997,0.36,0.639,2019
208,J.P. Crawford,SEA,SS,25,93,345,43,78,21,4,7,46,5,3,43,83,3,3,2,0.226,0.313,0.371,0.684,2019
210,Alex Verdugo,LAD,OF,24,106,343,43,101,22,2,12,44,4,1,26,49,0,6,2,0.294,0.342,0.475,0.8170000000000001,2019
211,Chad Pinder,OAK,2B,28,124,341,45,82,21,0,13,47,0,1,20,88,1,3,5,0.24,0.29,0.41600000000000004,0.706,2019
212,Albert Almora,CHC,OF,26,130,339,41,80,11,1,12,32,2,1,16,62,5,2,1,0.23600000000000002,0.271,0.381,0.652,2019
213,Jesse Winker,CIN,OF,27,113,338,51,91,17,2,16,38,0,2,38,60,0,0,8,0.26899999999999996,0.35700000000000004,0.473,0.83,2019
214,Neil Walker,MIA,1B,35,115,337,37,88,19,1,8,38,3,0,42,77,0,1,1,0.261,0.344,0.395,0.7390000000000001,2019
215,Jeimer Candelario,DET,1B,26,94,335,33,68,17,2,8,32,3,1,43,99,0,1,7,0.203,0.306,0.337,0.643,2019
216,Howie Kendrick,WAS,2B,37,121,334,61,115,23,1,17,62,2,1,27,49,0,5,4,0.344,0.395,0.5720000000000001,0.9670000000000001,2019
217,Fernando Tatis,SD,SS,21,84,334,61,106,13,6,22,53,16,6,30,110,0,3,5,0.317,0.379,0.59,0.9690000000000001,2019
218,Jose Martinez,STL,OF,32,128,334,45,90,13,2,10,42,3,0,35,82,0,2,2,0.26899999999999996,0.34,0.41,0.75,2019
219,Stevie Wilkerson,BAL,OF,28,119,329,41,74,18,2,10,35,3,3,22,108,1,2,7,0.225,0.28600000000000003,0.38299999999999995,0.669,2019
220,Ryan O'Hearn,KC,1B,27,105,328,32,64,13,1,14,38,0,1,39,99,0,2,1,0.195,0.281,0.369,0.65,2019
222,Luis Arraez,MIN,2B,23,92,326,54,109,20,1,4,28,2,2,36,29,0,3,1,0.33399999999999996,0.39899999999999997,0.439,0.838,2019
223,Tommy Edman,STL,2B,25,92,326,59,99,17,7,11,36,15,1,16,61,0,0,7,0.304,0.35,0.5,0.85,2019
224,Didi Gregorius,NYY,SS,30,82,324,47,77,14,2,16,61,2,1,17,53,0,2,1,0.23800000000000002,0.276,0.441,0.7170000000000001,2019
227,John Hicks,DET,C,31,95,319,29,67,15,0,13,35,1,1,13,109,0,1,0,0.21,0.24,0.379,0.619,2019
228,Curtis Granderson,MIA,OF,39,138,317,44,58,17,1,12,34,0,3,41,98,0,2,3,0.183,0.281,0.35600000000000004,0.637,2019
229,Logan Forsythe,TEX,3B,33,101,317,38,72,17,1,7,39,2,0,44,100,0,2,3,0.22699999999999998,0.325,0.353,0.6779999999999999,2019
230,Tucker Barnhart,CIN,C,29,114,316,32,73,14,0,11,40,1,0,44,83,1,1,2,0.231,0.32799999999999996,0.38,0.708,2019
231,Carson Kelly,ARI,C,26,111,314,46,77,19,0,18,47,0,0,48,79,0,1,2,0.245,0.348,0.478,0.826,2019
232,Josh Phegley,OAK,C,32,106,314,44,75,18,0,12,62,0,1,15,63,2,5,6,0.239,0.282,0.41100000000000003,0.693,2019
233,Yan Gomes,WAS,C,33,97,314,36,70,16,0,12,43,2,0,38,84,0,1,5,0.223,0.316,0.389,0.705,2019
234,Lourdes Gurriel,TOR,OF,27,84,314,52,87,19,2,20,50,6,4,20,86,1,3,5,0.27699999999999997,0.327,0.541,0.868,2019
235,Keston Hiura,MIL,2B,24,84,314,51,95,23,2,19,49,9,3,25,107,0,1,8,0.303,0.368,0.57,0.938,2019
236,Yordan Alvarez,HOU,DH,23,87,313,58,98,26,0,27,78,0,0,52,94,0,2,2,0.313,0.41200000000000003,0.655,1.067,2019
237,Austin Hedges,SD,C,28,102,312,28,55,9,0,11,36,1,0,27,109,2,1,5,0.17600000000000002,0.252,0.311,0.563,2019
238,Greg Garcia,SD,2B,31,134,311,52,77,13,4,4,31,0,2,53,83,1,2,5,0.248,0.364,0.354,0.718,2019
239,Ben Gamel,MIL,OF,28,134,311,47,77,18,0,7,33,2,2,40,104,0,2,3,0.248,0.337,0.373,0.71,2019
240,Mitch Garver,MIN,C,29,93,311,70,85,16,1,31,67,0,0,41,87,0,2,5,0.273,0.365,0.63,0.995,2019
241,Matt Adams,WAS,1B,32,111,310,42,70,14,0,20,56,0,0,20,115,0,1,2,0.226,0.276,0.465,0.741,2019
242,Cheslor Cuthbert,KC,1B,27,87,309,24,76,14,0,9,40,1,0,19,67,0,0,2,0.24600000000000002,0.294,0.379,0.6729999999999999,2019
243,Willie Calhoun,TEX,OF,26,83,309,51,83,14,1,21,48,0,0,23,53,0,2,3,0.26899999999999996,0.32299999999999995,0.524,0.847,2019
244,A.J. Pollock,LAD,OF,32,86,308,49,82,15,1,15,47,5,1,23,74,0,4,7,0.266,0.327,0.46799999999999997,0.795,2019
245,Chris Davis,BAL,1B,34,105,307,26,55,9,0,12,36,0,0,39,139,0,3,3,0.179,0.276,0.326,0.602,2019
246,Yandy Diaz,TB,3B,29,79,307,53,82,20,1,14,38,2,2,35,61,0,4,1,0.267,0.34,0.47600000000000003,0.816,2019
247,Pedro Severino,BAL,C,27,96,305,37,76,13,0,13,44,3,1,29,73,1,2,4,0.249,0.321,0.42,0.741,2019
248,Tim Beckham,SEA,SS,30,88,304,39,72,21,1,15,47,1,3,21,102,0,0,3,0.237,0.293,0.461,0.754,2019
