Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
A.J. Pierzynski,CWS,C,43,128,474,43,128,29,0,9,56,3,4,15,39,6,2,6,0.27,0.3,0.388,0.688
Cesar Izturis,BAL,SS,40,150,473,42,109,13,1,1,28,11,5,25,53,7,2,6,0.23,0.277,0.268,0.545
Scott Rolen,CIN,3B,45,133,471,66,134,34,3,20,83,1,2,50,82,0,8,8,0.285,0.358,0.497,0.855
Omar Infante,ATL,2B,38,134,471,65,151,15,3,8,47,7,6,29,62,4,2,0,0.321,0.359,0.416,0.775
Troy Tulowitzki,COL,SS,36,122,470,89,148,32,3,27,95,11,2,48,78,1,5,5,0.315,0.381,0.568,0.949
Ronny Cedeno,PIT,SS,37,139,468,42,120,29,3,8,38,12,3,23,106,7,2,2,0.256,0.293,0.382,0.675
Jason Bartlett,TB,SS,41,135,468,71,119,27,3,4,47,11,6,45,83,11,3,5,0.254,0.324,0.35,0.674
Curtis Granderson,NYY,OF,39,136,466,76,115,17,7,24,67,12,2,53,116,4,3,2,0.247,0.324,0.468,0.792
Yadier Molina,STL,C,38,136,465,34,122,19,0,6,62,8,4,42,51,2,5,7,0.262,0.329,0.342,0.671
Aramis Ramirez,CHC,3B,42,124,465,61,112,21,1,25,83,0,0,34,90,0,5,3,0.241,0.294,0.452,0.746
Brennan Boesch,DET,OF,35,133,464,49,119,26,3,14,67,7,1,40,99,0,3,5,0.256,0.32,0.416,0.736
Colby Rasmus,STL,OF,34,144,464,85,128,28,3,23,66,12,8,63,148,2,4,1,0.276,0.361,0.498,0.859
Starlin Castro,CHC,2B,30,125,463,53,139,31,5,3,41,10,8,29,71,4,4,6,0.3,0.347,0.408,0.755
Melky Cabrera,ATL,OF,36,147,458,50,117,27,3,4,42,7,1,42,64,5,3,1,0.255,0.317,0.354,0.671
Carlos Quentin,CWS,OF,38,131,453,73,110,25,2,26,87,2,2,50,83,0,4,20,0.243,0.342,0.479,0.821
Mike Napoli,LAA,1B,39,140,453,60,108,24,1,26,68,4,2,42,137,0,4,11,0.238,0.316,0.468,0.784
Luke Scott,BAL,DH,42,131,447,70,127,29,1,27,72,2,0,59,98,0,7,4,0.284,0.368,0.535,0.903
Matt Wieters,BAL,C,34,130,446,37,111,22,1,11,55,0,1,47,94,0,7,2,0.249,0.319,0.377,0.696
Dexter Fowler,COL,OF,34,132,439,73,114,20,14,6,36,13,8,57,104,7,0,2,0.26,0.347,0.41,0.757
Chase Utley,PHI,2B,41,115,425,75,117,20,2,16,65,13,2,63,63,0,5,18,0.275,0.387,0.445,0.832
